,id,text,category
50,tam51,நாடக காதல் இது புதுமையாக இருக்கு. எப்பொழுதுமே பெண்கள்  ஆண்களை விட தெளிவாக இருப்பாங்க. ஒருவன் பேசும் முறைகளை வைத்தே அவனை எளிதில் Analysis பன்னிடுவாங்க. இது மாதிரி படங்களை எடுத்து அவங்க அசிங்கம் படுத்தாதிங்க. 2020 வது இல்ல 2060ஆனாலும்  திருந்தாத ......................... கள்.     அ,NOT
51,tam52,உண்மை யை துணிச்சலாக பேசிய மைக்கு நன்றி.,NOT
52,tam53,வெறித்தனம்....    படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
53,tam54,தன் ஜாதியை வைத்து பிச்சை  எடுக்கும் எச்சைகள் பார்த்து கதற வேண்டிய படம்.. #வாழ்த்துக்கள் #திரௌபதி #team,NOT
54,tam55,எங்கள் நாடார் சமுதாய சார்பாக திரைப்படம் வெற்றி பெற வாழ்த்துக்கள்......,NOT
55,tam56,தொண்டைமண்டல அகமுடையார்கள் சார்பாக இந்தப்படத்திற்கு 100 டிக்கட்டுகள் இலவசமாக வழங்கப்படும்....,OFF
56,tam57,இசை 90ல் பிறந்தவர்களின் காதல் இசை ... பள்ளியில்,NOT
57,tam58,கொங்கு சமுதாயம் சார்பாக.....பாட்டாளி மக்கள் கட்சியை சார்ந்த இந்த படத்தின் இயக்குனர் மோகன் அவர்களுக்கு வாழ்த்துக்கள்....மற்றும் இந்த உண்மை சம்பவம் வெற்றி பெற நாங்கள் உங்களோடு இருப்போம் அண்ணா.....,NOT
58,tam59,மாற்றத்திற்கான எளிய மக்களின் செயல்பாடுகளே புரட்சி என்று அழைக்கப்படுகிறது......,NOT
59,tam60,இதுல  வந்த  comentsa  பா த்தாதா தெரியுது எத்தனை ஜாதி  இருக்கு னு,NOT
60,tam61,"இது படம் இல்ல, பலருடைய வாழ்க்கையின் ஆதங்கம்.",NOT
61,tam62,குரூமா குருப்பு குண்டி வெந்தே சாகபோரானுக வாழ்த்துக்கள் மோகன் சார்....,OFF
62,tam63,"யாரு சாமி இந்த இயக்குனர் ? உனக்கு இந்தியாவை ஆளும் ஆர்எஸ்எஸ் பாதுகாப்பு கொடுக்கும்,, இப்போது இருக்கும் பெண், ஆண் விழிப்புணர்வு படம்",NOT
63,tam64,என்ன ஒரு அற்புதமான டிரெய்லர் ரக்ஷித் ஷெட்டி நீங்கள் அருமை..,NOT
64,tam65,நாடக காதல படம் எடுக்குறேனு நாடகம் மாதிரி எடுத்துருக்கான்..இதுல காவியப்புண்ட எடுத்தது மாதிரி  டெய்லி  வசனம் வேற...,OFF
65,tam66,முதல்ல சாதிய உயர்த்தி படம் எடுக்கரவனையும் சாதிய ஒழிக்குரேனு சொல்லி படம் எடுக்கரவனையும் உதைக்கனும்  அப்புறம் இந்த ஜாதி ஒழிப்பு மேல் ஜாதிக்காரன் வீட்டு பொண்ன கட்டி உறவுக்காரன் ஆனாதா முடியும் சொல்லித்தரவன செருப்பால் அடிக்கனும் ஜாதி ஒழிப்புங்கரது கீழ இருக்கரவன் அவனுக்கு சமமாத்தான் வரனுமே தவிர அவனாகுரது இல்லை  அவனுக்கே சமமா கல்வி வேலைவாய்ப்பு பொருளாதாரத்துல முன்னேரதுதான் அப்படி முன்னேறிட்ட அவன் உனக்கு செஞ்சத நீ அவனுக்கு செய்யாத காரணம் உனக்கு வலிச்ச மாதிரிதான் அவனுக்கும் வலிக்கும்  ஆனால் கடந்தகால ஜாதி ஒழிப்புங்கரது தவறா கற்ப்பிக்கப்பட்டதின் விளைவே இன்றைய நவீன ஜாதி வெறியின் மூலக்காரணம்,NOT
66,tam67,செய்வது எப்படி கூட தெரியல அஜித் படம் ட்ரைலர் எப்படி தெரியும் சூர்யா சார் என்ன பண்றீங்க,NOT
67,tam68,இந்த டிரெய்லர விட .. இங்க படிக்கிற கமென்ட்ஸ் தான் மிகவும் வருத்தம் அளிக்கிறது ..,NOT
68,tam69,கண்டிப்பாக இந்த படத்தை திரையரங்கில் தான் பார்ப்பேன்,NOT
69,tam70,பொள்ளாட்ச்சி பசங்க  பொன்னுங்கள தொட்ட சூத்த மூடிக்கிட்டு இருப்போம் யாரவது ஏமாந்தவன் கெடச்ச வீரத்த காமிப்போம்.....,OFF
70,tam71,ரஜினியை ஏமாற்றிய முருகதாஸ்  உண்மை பின்னணி :,OFF
71,tam72,எனக்கு மட்டும் தான் பாக்க SAW படத்தோட தழுவல் மாதிரி தோணுதா ...,OFF
72,tam73,Release ஆகிடுச்சா இல்லையா?? யாராவது சொல்லுங்க டா... எங்க ஊரு ல எந்த தியேட்டர் லயும் போடல...,NOT
73,tam74,யாதவர்கள் சார்பாக இப்படம் மகத்தான வெற்றி பெற வாழ்த்துக்கள்.,NOT
74,tam75,"நா யாருங்கறத எப்பவுமே நா முடிவு பண்றதில்ல,  என் எதிர்ல நிக்குறவங்க தான் முடிவு பண்ணுவாங்க…,  அவுங்களுக்கு நா  நண்பனா?     இல்ல  எதிரியானு………",NOT
75,tam76,2000 வருட அடிமை கூட்டங்கள் கதறுவதை கண்டாலே ஆனந்தமாக தான் உள்ளது!,NOT
76,tam77,வடக்கே வன்னியனும் தெற்கே தேவனும் ஒன்று சேர்ந்தாச்சு...இனி ஓலமிட்ற நரிகளுக்கும் கருப்பு சட்டைக்காரனுக்கும் கஞ்சிக்கே வழியில்லை....,OFF
77,tam78,இத்தனை ஜாதி இருக்கே டா ?ஏண்டா ஒருத்தன மட்டும்  ஒத்துக்க மாட்டிங்க;இதுக்கு பேரு தாண்டா ஜாதி வெறி,NOT
78,tam79,"பரிஎரும் பெருமாள், அசுரன், காலா, போன்ற  படங்கள்  வரும்போது  எல்லா சமூகத்தினரும் பொறுமையாக தானே திரையரங்குகளில் சென்று பார்த்தார்கள், இந்த படங்களை இயக்கிய இயகுனர்களுக்க்கு  எவ்வளவு கருத்து சுதந்திரம் இருந்ததோ அதேபோல் தான், திரௌபதி பட இயக்குனர் அவருக்கும் கருத்து சுதந்திரம் உண்டு... படம் வந்த பிறகு உங்கள் எதிர்ப்புகளை தெரியபடுத்துங்கள்,",NOT
79,tam80,அடேய்...படிச்சு முன்னேறு னு அம்பேத்கர் சொன்னாரு டா...  மேல்.சாதி பொண்ணு கூட படு***ட்டு முன்னேறு னு உங்க காதுல விழுந்திருச்சு போல...  அதான் புத்தகத்தை தூக்கி எறிந்து.. பொம்பளப்புள்ள பின்னாடி சுற்றும் கூட்டம்.  சும்மாவா சொன்னான்..  கீழ்மக்கள் கீழ்மக்களே...  த்தூ  #திரௌபதி,OFF
80,tam81,சூப்பர் தல உன்னை வெல்ல எவரும் இல்லை இந்த உலகில்,NOT
81,tam82,நீங்க சொன்ன ஒவ்வொரு  வார்த்தையும் இந்த சலுகையில வாழுர  Bc -30% MBC -20% Oc -10%  Sc-15% ScA--3% St-1%    நாயகள செருப்பால அடிச்சா மாதிரி இருந்துச்சு நண்பா   ( உங்களுக்கு எப்போ தான் டா அறிவு இங்கிறது ஊருகா அளவுக்காச்சும் வளர போகுது 🤦),OFF
82,tam83,வீர பறையர்கள் சார்பாக படம் வெற்றியடைய வாழ்த்துகள்,NOT
83,tam84,போராடுவது தப்பு என்றால் போராட தூண்டுவதும் தப்பு தானே.... நாம் தமிழர்......,OFF
84,tam85,மதுரை கவுண்டர் பேரவை சார்பாக படம் வெற்றிபெற வாழ்த்துக்கள்,NOT
85,tam86,Karur மாவட்டம்   கொங்கு படை சார்பாக வாழ்த்துக்கள்,NOT
86,tam87,மோகன் செம்மயா இருக்கு..... நல்லா வச்சி செஞ்சிருக்கிங்க......,NOT
87,tam88,"இது எப்படி தெரியுமா இருக்கு, 90's kids   நாங்கலாம் எங்க காலத்துல னு  2K kids ட சொல்லுர மாதிரி இருக்கு",OFF
88,tam89,தலைவன் சூர்யா  வெறிதனம் மா இருக்கு டிரைலர்,NOT
89,tam90,வெட்டு  நீ வெட்டுனா அது எங்களுக்கு சாதகமத்தான் மாறும் நீ வெட்டு..... என்ன வசனம் அருமை.... உண்மையை சொல்லம் திரெளபதி வாழ்த்துகள் கோடி,NOT
90,tam91,நாயுடு மக்கள் சார்பா இந்த படம் வெற்றி அடைய வாழ்த்துக்கள்,NOT
91,tam92,எங்கள் மக்களின் நியாயங்களையும் வலிகளையும் சொல்லும் முதல் திரைப்படம் வெற்றியடைய வாழ்த்துக்கள்,NOT
92,tam93,Comment செய்துள்ள அனைவரும் தான் சாதியின் சார்பாக வாழ்த்துக்கள் தெரிவித்துள்ளார்கள் இதுவே இந்த படம் சாதி வெறி அதிகம் தூண்டும் விதமாக எடுக்கப்பட்ட படம் என்று நன்றாக தெரிகிறது,NOT
93,tam94,தமிழ்நாட்டில் இவ்வளவு ஜாதி இருக்குனு இப்ப தாண்ட தெரியுது,NOT
94,tam95,கொங்கு பெண் குழந்தைகள் பார்க்க வேண்டிய படம்...,NOT
95,tam96,தமிழகத்திலுள்ள  இந்துக்களில் பாதிப்பேர் படித்து முன்னேற முடியாமலா  கிறிஸ்தவன் ஆகவும் முஸ்லீம் ஆகவும் மாறிட்டான்  எல்லாம் உங்கள மாதிரி ஜாதி பாக்குறதால தான்  படித்து முன்னேறு  சாம்பாதின்னு சொல்லி comment பன்றதெல்லாம் ok    தான்  பிறப்பிலிருந்து இறப்பு வரை என்னை நீ பாக்கிற பார்வை நான் அதிகாரத்துக்கு வரக் கூடாதுங்கிற எண்ணம     எங்களை மட்டுமே நீ அடிமைப்படுத்தும் என்று நினைத்தால் நியாமா  ஏண்டா அடிமைப்படுத்திறனு  திரும்பி கேட்டா ஜாதி வெறியன் னு சொன்னா பின்பு எப்படி தான்டா கேட்கிறது  எத்தனை தடவை கேட்டாலும் நீங்க திருந்த போறது இல்லை இதுல இந்தியா வல்லரசு ஆகுமா......,NOT
96,tam97,"Semma mass Suriya anna, selvaragavan, u1 music...... Pakka mass... நடிப்பின் அரக்கன் எங்கள் அண்ணன் சூர்யா.....",NOT
97,tam98,தெலுங்கு கொல்ட்டி சமுத்திர கன்னி உன் நாயக்க சாதி வெறிய ஒழி.,OFF
98,tam99,வெயிட்டிங் லயே வெறி ஏறுது தல   சீக்கிரம் வா தல........,NOT
99,tam100,இனம் என பிரிந்தது போதும் மனிதம் காப்போம்,NOT
100,tam101,அவனுங்களுக்கு எதிராக ஒன்று சேர இதுவே நல்ல நேரம்,OFF
101,tam102,எந்த ஜில்லாவிலும் எங்க தல தான்டா பில்லா.,NOT
102,tam103,teaser எப்ப பாக்கனுமமேன்டு சொல்லட்டுமா தல funs என்ன பயம் தளபதிய நாங்க பாக்க முதலே நீங்க பாக்கிறிங்க அந்த பயம் இருக்கனும்டா,OFF
103,tam104,தல மாஸ் ப்பா செம மோட்டிவேஷன்  தல லவ் uuuuuuuu,NOT
104,tam105,பெண்ணும் மண்ணும் ஒன்று தான் எங்களுக்கு... சரியான வசனம்.. ஆனால் மண் இப்போது யாரிடம் உள்ளது..? அனைத்து சாதியினரும் மண் விசயத்தில் கோட்டை விட்ட கோழைகளாக மாறி இருப்பது தான் இன்றைய அவலம்... ஒன்று பட்டு மண்ணை காப்பாற்றுங்கள்... இருக்கும் எந்த கட்சியும் சரி இல்லை என்றால் புதிதாக ஒன்றை உருவாக்கி உங்கள் மண்ணை நீங்களே ஆளுங்கள்...   ஒன்று மட்டும் சொல்கிறேன்.. சாதியாக நீங்கள் பிரிந்தால் ஒருபோதும் இதை சாதிக்க முடியாது... தமிழராய் ஒன்று படுங்கள்...,NOT
105,tam106,தென் சென்னை  வன்னியர் - முதலியார்  கூட்டமைப்பு.  சார்பாக வாழ்த்துக்கள்,NOT
106,tam107,படத்துல என்னமோ பெருசா இருக்குனு மட்டும் தெரிது,NOT
107,tam108,திரௌபதி வன்னியர் குல தெய்வம்...  சாதிக்கு அப்பாற்பட்ட சமூகமே வளம் பெறும்,NOT
108,tam109,அண்ணன் மோகன் ஜி அவர்களே துரௌபதி படம் நீங்கள் யூடிபில் வெளிவிடுவது என்றாலும் உங்கள் account number ம் சேர்த்து வெளி விடுங்கள்  எங்களால் திரையரங்கத்தில் RS: 500 என்றால் உங்களுக்கு அனுப்புகிறோம்,NOT
109,tam110,எங்களுக்கு மண்ணும் பொண்ணும் முக்கியம்... நம் குல பெண்களை காக்க தாய் திரௌபதி மீண்டும் அவதாரம் எடுத்து வந்தது போல் உணர்கிறேன்... என்றும் யாதவ கண்ணன் குலம் துணை நிற்கும்...  சிறப்பான சிகரம் தொட தமிழ்நாடு யாதவர் பேரவை சார்பாக வாழ்த்துக்கள்...,NOT
110,tam111,ஒரு குறிப்பிட்ட சாதிய வச்சு மட்டுமே படங்கள் பாத்த தமிழ் சினிமாவில் இது கொஞ்சம் புதுசு ரொம்ப தேவையான படமும் கூட.இப்பக்கூட ஒரு படம் வந்துச்சே 'குண்டு' இதுல ஒரு குறிப்பிட்ட சாதியோட நெறி ரொம்ப வீசுச்சு.இந்த படம் வெற்றி அடைய பட்டாரியர் சமுதாயம் சார்பாக வாழ்த்துக்கள்,NOT
111,tam112,எங்கடா அவன் அடங்கமறு அத்துமீறு. ஒழுங்கா படி உருப்படு.,NOT
112,tam113,அகில உலக வெள்ளாளர் (வேளாளர்) சமுகத்தின் சார்பாக வாழ்த்துக்கள். இந்த படம் நூறு நாட்கள் கடந்து வெற்றி அடைய வாழ்த்துக்கள்.  இந்த படத்திற்கு முழு அதற்வு உண்டு,NOT
113,tam114,"இவளே ஒரு உச்சநீதிமன்ற திருட்டு குற்றவாளி இவிங்களுக்கு ஒரு படமா ,தமிழினத்துக்கு அம்மா வேலுநாச்சியார் படத்தை எடுங்கடா பின்பு இவருக்கு எந்த அளவு மரியாதைனு பார்ப்போம்",OFF
114,tam115,Super.. அட்டகத்தி மெட்ராஸ் கபாலி காலா குண்டு பரியேறும் பெருமாள் இந்த மாதிரியான படத்தை எல்லாம் பார்க்கும் போது தான் எனக்கு ஜாதி ன்னும் ஒன்னு முக்கியம்னு தோணுச்சு..  இப்படியாப்பட்ட படத்தை தான் நான் நீண்ட நாளாக எதிர்பார்த்து இருந்தேன்  டைரக்டர் மோகன் அவர்களுக்கு எனது மனமார்ந்த வாழ்த்துக்களும் நன்றிகளும்,NOT
115,tam116,திருநெல்வேலி வீரபாகு சேனைத்தலைவர் மக்களின் சார்பாக இந்தப்படம் மாபெரும் வெற்றிபெற வாழ்த்துக்கள்,NOT
116,tam117,இந்த முன்னோட்டத்தை ஆதரவு அளித்த அனைத்து சமுதாய நண்பர்களுக்கும் #திரௌபதி குழுவின் சார்பாக மனமார்ந்த நன்றி. இவன் உங்களில் ஒருவன்,NOT
117,tam118,"எனக்கு தெரிஞ்சி நிறையபேர் ஜாதி மாற்றி, மதம் மாற்றி  திருமணம் செய்தும்  நல்லாத்தான் இருகாங்க....  தப்பா ஒன்னும் தெரியலையே..  இவனுவ ஏன் பொய்யான படம் எல்லாம் எடுக்குறாங்க  #பயமா  #அசுரன் பட (கதறல்)பயத்தின் விளைவே ''திரௌபதி",NOT
118,tam119,திருநெல்வேலி யாதவர் சமுதாயம் சார்பாக திரௌபதி படம் வெற்றி பெற வாழ்த்துகள்,NOT
119,tam120,டிக்டாக்ல சன்ட போட்டிங்க இப்போது வெள்ளி திரையாடா வாழுங்கபா வாழ்த்துக்கள்,NOT
120,tam121,500 கோடிகுடுத்தா எவன் டயரையும் நக்க ரெடி,OFF
121,tam122,உடையார் இன மக்கள் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள்,NOT
122,tam123,இண்டகி! நெறய பேர்ட இல்லாத ஒரு கெட்ட பழக்கம் என் கிட்ட இருக்கு!!! டா!!!!!!!,NOT
123,tam124,"நல்லா இருக்கு..... வெற்றி வெற்றி தா, இனி ஆயுள் வரை.....",NOT
124,tam125,தமிழ்நாட்டில்  உள்ள  வன்னியர்கள்  திரௌபதி  படத்தினை  தியேட்டர்  சென்று  பார்த்தாலே படம்  பிளாக் பஸ்டர்....,NOT
125,tam126,என்ன டா நீங்க பக பக பக பக னு சங்கு வேற ஊதிக்கிறீங்க🤣🤣🤣symbolic ah சொல்றீங்களோ🤔🤔🤔🤔🤔‍‍‍‍,OFF
126,tam127,மிரட்டல் காம்போ..  அண்ணன் உதயநிதி ஸ்டாலின் அவர்களின் திரை பயணத்தில் மாபெரும் வெற்றி படைப்பாக நிச்சயம் இருக்கப்போகிறது சைக்கோ.. வாழ்த்துகள்...,NOT
127,tam128,சும்மா treilar e இப்படி தெறிக்க விடுத்துனா படம் சும்மா மரண மாஸ் தான்,NOT
128,tam129,"இந்த ட்ரைலர் புடிக்காம dislike போற்றவங்கிய யாருலாம்னா... நாடக காதல் பண்ணவனும்.., நாடக காதல் பண்ணபோறவனும்..,நாடக காதல் பனிட்டுஇருபவனும்தான் இந்த ட்ரைலர் புடிக்காம dislike பன்னுவாங்கிய.., நாடக காதல் கூ***ரொம்ப நாள் என் மனதில் இருந்து வெளில சொல்ல ஆதங்கப்பட்டத அப்பிடியே பாக்கிறேன் திரௌபதி டைரக்டர் @மோகன் உங்களுக்கு என்னுடைய மனசார மனமார்ந்த நன்றி",NOT
129,tam130,கடலூர் மாவட்டம் வழிசோதனைபாளையம் கிராம மக்கள் சார்பாக எங்கள் திரௌபதி தாயை வாழ்த்தியல்லை  வணங்கியே பழக்கப்பட்டவர்கள் நாங்க வணங்குகி மகிழ்கிறோம்...,NOT
130,tam131,உண்மையைக் கூறி இருக்கிறீர்கள் ரொம்ப நன்றி அண்ணா அண்ணனுக்கு நன்றிகள் பல....,NOT
131,tam132,Here only thalapathy RULES BAIRAVA தர மின்னலுண்னு நின்னு பார்ரா புரியும்,NOT
132,tam133,எந்த பெரிய விசியம் ஆனாலும் அதோட ஆணி வேர்யில் இருந்து ஆரம்பிக்கரது தான் அழகு  #NGK,NOT
133,tam134,படம் வெற்றிப்பெற அனைத்து அம்பலகாரர்  சார்பாக வாழ்த்துக்கள்...,NOT
134,tam135,"வெகு நாட்களாக இப்படி உண்மையை போட்டு உடைக்கும், சமூக அக்கறையுள்ள திரைப்படத்தை தான் எதிர்ப்பார்த்து காத்துக்கொண்டிருந்தேன்.! அடுத்தவர் வீட்டு பெண்களின் மீது கை வைக்கும் நாய்களுக்கான படமாக இருக்கிறது.! கபாலி, காலா, பரியேறும் பெருமாள் போன்ற படங்களை போன்று இப்படத்தையும் ஒரு திரைப்படமாக பார்க்கவும்.!! வீணாக இப்படத்தின் மீது தவறான ஜாதி சாயத்தை பூசாதீர்.!!!  திரௌபதி துகிலுரிந்த காலம் சென்று., அவளின் மானம் காக்கப்படட்டும். இப்படம் மாபெரும் சமூக மாற்றத்தோடு வெற்றியடைய மனமார்ந்த வாழ்த்துக்கள்.!  இப்படிக்கு சாதாரண மனிதனில் ஒருவன்",NOT
135,tam136,பிகில்'னு மொக்க படத்துல கதிர்'ர நடிக்க வைக்கனு கூட்டினு போயீ ... பொம்மை போல உக்கார வச்சுடானுவோ எச்சைங்க   இந்த படத்துல கதிர் சம்பவம் இருக்கு,NOT
